,y_pred,y_true
0,[0.20406754],0.19251174
1,[0.21132712],0.20875713
2,[0.19946446],0.29172307
3,[0.19409797],0.23023951
4,[0.17699704],0.26095754
5,[0.17164068],0.24774659
6,[0.16775136],0.2823715
7,[0.15869388],0.3248485
8,[0.16312753],0.27787387
9,[0.14600444],0.26570994
10,[0.13360797],0.23298576
11,[0.12949787],0.19498792
12,[0.11774084],0.21164283
13,[0.1128809],0.25297824
14,[0.11817823],0.20118806
15,[0.11475474],0.21167988
16,[0.11361884],0.25098228
17,[0.11418758],0.24019927
18,[0.1138655],0.3175891
19,[0.11480875],0.2968546
20,[0.11358224],0.25905606
21,[0.11456927],0.3097017
22,[0.11943468],0.2236557
23,[0.11677547],0.28163448
24,[0.11272351],0.284504
25,[0.11300123],0.27214143
26,[0.11636862],0.3062158
27,[0.11647029],0.3023841
28,[0.1186647],0.23023164
29,[0.11343191],0.27713555
30,[0.11616944],0.2767835
31,[0.11640368],0.23330668
32,[0.11597441],0.27468643
33,[0.11706679],0.28380197
34,[0.11907502],0.2677324
35,[0.12327588],0.2311987
36,[0.12274239],0.20373598
37,[0.11322745],0.2020765
38,[0.10923778],0.24989292
39,[0.11007641],0.25260213
40,[0.11594471],0.24270192
41,[0.11845658],0.23542204
42,[0.11646046],0.2737745
43,[0.11703508],0.28596127
44,[0.11872862],0.2693651
45,[0.11548769],0.28173605
46,[0.11967084],0.23862305
47,[0.12217394],0.22339958
48,[0.11532715],0.22129485
49,[0.11501171],0.21038595
50,[0.1143207],0.20990676
51,[0.10974241],0.19096896
52,[0.10320235],0.25041404
53,[0.1101746],0.2494523
54,[0.11333369],0.24713805
55,[0.11093707],0.24041831
56,[0.11261613],0.24554959
57,[0.11292588],0.2308192
58,[0.1102685],0.20503518
59,[0.10871222],0.24324724
60,[0.10989393],0.2213639
61,[0.11426385],0.2082673
62,[0.11162806],0.17813894
63,[0.10714575],0.27368328
64,[0.10806137],0.24685284
65,[0.11022869],0.23979536
66,[0.11037458],0.29530746
67,[0.11524085],0.29854286
68,[0.11637574],0.29005927
69,[0.12127445],0.30719903
70,[0.12362659],0.2918404
71,[0.12435544],0.3025811
72,[0.12597384],0.30513534
73,[0.12263335],0.233625
74,[0.11791744],0.24577996
75,[0.11556833],0.3253509
76,[0.12109781],0.25905472
77,[0.12041121],0.22993052
78,[0.11698248],0.20513266
79,[0.1174034],0.21926418
80,[0.11283254],0.20457914
81,[0.11412238],0.28014547
82,[0.11312736],0.24978381
83,[0.10869931],0.29788515
84,[0.11210431],0.26985922
85,[0.1132476],0.23378196
86,[0.11523677],0.25896353
87,[0.11191288],0.25038967
88,[0.11525308],0.19635928
89,[0.10864234],0.24594328
90,[0.10756589],0.25014117
91,[0.10748808],0.22619677
92,[0.10674312],0.26468474
93,[0.10766639],0.2295062
94,[0.10080614],0.23187304
95,[0.10443248],0.2212559
96,[0.10035004],0.19465712
97,[0.09718309],0.16333994
98,[0.08854848],0.18964127
99,[0.0908662],0.12401277
100,[0.08655454],0.12619121
101,[0.08642837],0.11962418
102,[0.07638847],0.06494562
103,[0.07761419],0.05326496
104,[0.08037779],0.05310695
105,[0.07967106],0.07830666
106,[0.05993383],0.07698065
107,[0.06026295],0.07170695
108,[0.07344799],0.076208875
109,[0.05033515],0.05390781
110,[0.05577047],0.061645135
111,[0.04520844],0.060109526
112,[0.03463949],0.060466185
113,[0.05137965],0.041747198
114,[0.04399786],0.040482968
115,[0.11496139],0.038463533
116,[0.04419745],0.02354084
117,[0.03658323],0.03182912
118,[0.06184337],0.03475915
119,[0.03226293],0.035128325
120,[0.0278352],0.0077769384
121,[0.02774888],0.023915634
122,[0.03813232],0.044012204
123,[0.05362155],0.057159036
124,[0.02259923],0.057936445
125,[0.0406761],0.08846933
126,[0.03547531],0.09103209
127,[0.02530253],0.04494989
128,[0.03900199],0.08875653
129,[0.03480791],0.11277528
130,[0.03707352],0.10694142
131,[0.08297225],0.38058087
132,[0.06136778],0.08487497
133,[0.06014011],0.07387085
134,[0.0774337],0.09399912
135,[0.04949022],0.119122505
136,[0.05537552],0.14158091
137,[0.05998256],0.17979395
138,[0.07223762],0.16260752
139,[0.09537223],0.120349005
140,[0.1162613],0.16241351
141,[0.08222988],0.16431755
142,[0.12687172],0.17641076
143,[0.15655583],0.18725559
144,[0.20239927],0.17125145
145,[0.20398176],0.16548067
146,[0.17223021],0.1885773
147,[0.20220186],0.22019988
148,[0.24002437],0.19183287
149,[0.23164217],0.22537604
150,[0.25049627],0.26932743
151,[0.28174883],0.2804974
152,[0.29299098],0.24159235
153,[0.24849586],0.26841524
154,[0.24316339],0.24055287
155,[0.2209415],0.24373838
156,[0.19582932],0.3342635
157,[0.17432787],0.24300262
158,[0.13811165],0.21502268
159,[0.13495566],0.22341338
160,[0.12397821],0.2483576
161,[0.11611745],0.25462517
162,[0.10825886],0.2488957
163,[0.10634749],0.28226545
164,[0.10789558],0.21998268
165,[0.1111402],0.25844464
166,[0.10888859],0.3097625
167,[0.1111927],0.2740851
168,[0.10720342],0.26960835
169,[0.10166211],0.2671986
170,[0.11145327],0.24343824
171,[0.10824586],0.2944523
172,[0.11356854],0.2964762
173,[0.11588397],0.33937195
174,[0.11699156],0.28817466
175,[0.11608134],0.27093506
176,[0.11866364],0.24495766
177,[0.11723185],0.23480296
178,[0.11505944],0.26873916
179,[0.11616416],0.21806735
180,[0.11144952],0.2129226
181,[0.1100217],0.21005377
182,[0.10574992],0.24261302
183,[0.11631276],0.23106456
184,[0.11303808],0.25729215
185,[0.11438802],0.22937426
186,[0.11200061],0.22505742
187,[0.11154915],0.30209824
188,[0.11589316],0.2693109
189,[0.12273096],0.23928702
190,[0.11648462],0.23956472
191,[0.11110874],0.2600162
192,[0.11388718],0.23398137
193,[0.11465689],0.23435509
194,[0.11100486],0.25302216
195,[0.11068597],0.20125443
196,[0.10437193],0.27002648
197,[0.10479913],0.3010396
198,[0.11670077],0.22945029
199,[0.11440197],0.24804989
200,[0.11331464],0.24963939
201,[0.10652744],0.24416906
202,[0.10758995],0.25103483
203,[0.11244397],0.2645585
204,[0.11100207],0.24092674
205,[0.115301],0.22177476
206,[0.11282042],0.28443554
207,[0.11012065],0.3410473
208,[0.11605605],0.33926186
209,[0.12380055],0.21954837
210,[0.12075896],0.21014926
211,[0.11727654],0.2484482
212,[0.11475412],0.2300399
213,[0.11045741],0.30733654
214,[0.11642247],0.25561008
215,[0.11515671],0.27151513
216,[0.11517887],0.2620545
217,[0.1210052],0.26046142
218,[0.11755027],0.26957464
219,[0.11375761],0.24541414
220,[0.11225349],0.24817923
221,[0.11435599],0.27545223
222,[0.11492073],0.1996766
223,[0.11217361],0.2022523
224,[0.11001612],0.20705804
225,[0.10022832],0.20062226
226,[0.1071487],0.20930058
227,[0.10809132],0.21971801
228,[0.10766746],0.1975283
229,[0.10070714],0.18490928
230,[0.09596944],0.17141736
231,[0.09813198],0.1483042
232,[0.09697893],0.14849922
233,[0.08359715],0.13282822
234,[0.09513611],0.11835867
235,[0.08783755],0.11710437
236,[0.08903489],0.11462748
237,[0.09031771],0.09677908
238,[0.09268451],0.11014673
239,[0.08153981],0.08525106
240,[0.06627008],0.22610152
241,[0.07255719],0.034830168
242,[0.06580956],0.11021547
243,[0.06617542],0.046876714
244,[0.05793934],0.048266545
