,y_pred,y_true
0,[0.16618735],0.21029702
1,[0.18657923],0.29667836
2,[0.23693337],0.23215806
3,[0.24274817],0.26405406
4,[0.24490473],0.2504236
5,[0.24511348],0.28485233
6,[0.25495],0.3284354
7,[0.2839687],0.28242218
8,[0.25849745],0.26886457
9,[0.2860575],0.2363064
10,[0.2610264],0.1976498
11,[0.22724763],0.21495521
12,[0.24028556],0.2575781
13,[0.24766068],0.20518184
14,[0.21858937],0.21605438
15,[0.20833983],0.25489974
16,[0.22112533],0.24383843
17,[0.2375514],0.32101262
18,[0.27927303],0.30116117
19,[0.28552413],0.26291183
20,[0.2640763],0.31431818
21,[0.2858296],0.2281056
22,[0.28458664],0.28748763
23,[0.2833881],0.28801078
24,[0.2753489],0.27668792
25,[0.26346037],0.31105047
26,[0.2757725],0.30718675
27,[0.285062],0.2342835
28,[0.2642744],0.28249502
29,[0.28219727],0.28084296
30,[0.26976588],0.23627001
31,[0.25398228],0.27794608
32,[0.2678688],0.28991112
33,[0.27696127],0.27301297
34,[0.25208294],0.23611766
35,[0.25909844],0.20646974
36,[0.22643928],0.20796946
37,[0.21673207],0.25423756
38,[0.26619977],0.2572868
39,[0.2553506],0.24787754
40,[0.23725732],0.24111697
41,[0.24005508],0.27643967
42,[0.25753093],0.29281467
43,[0.26749024],0.27513844
44,[0.27466235],0.28490514
45,[0.27075732],0.24460316
46,[0.25286305],0.22653303
47,[0.2465219],0.22403672
48,[0.21791735],0.20767814
49,[0.22667585],0.20870444
50,[0.20488119],0.17993718
51,[0.18113783],0.252804
52,[0.22046416],0.2538303
53,[0.23627935],0.25294298
54,[0.2524293],0.24094155
55,[0.23876426],0.2505195
56,[0.25056347],0.23544884
57,[0.24047448],0.20716831
58,[0.21389627],0.24780473
59,[0.2318453],0.22501996
60,[0.2430251],0.212343
61,[0.20904487],0.17942736
62,[0.17371406],0.27994895
63,[0.23461899],0.25151607
64,[0.26394406],0.24288493
65,[0.2321274],0.29840994
66,[0.26838535],0.30124065
67,[0.27467033],0.2928644
68,[0.27587628],0.31027907
69,[0.30256587],0.2936425
70,[0.289964],0.30411446
71,[0.28905734],0.30580965
72,[0.28656948],0.23447895
73,[0.26800644],0.24587467
74,[0.26941097],0.32785273
75,[0.28098792],0.26034936
76,[0.27616015],0.230367
77,[0.25991833],0.2047151
78,[0.23903319],0.22036844
79,[0.21819744],0.20526803
80,[0.20042616],0.2810748
81,[0.24776784],0.24940398
82,[0.2533174],0.29882386
83,[0.26032197],0.27166554
84,[0.28982195],0.23429686
85,[0.2501909],0.25983953
86,[0.26781642],0.25251934
87,[0.24804963],0.19806376
88,[0.21149804],0.24609983
89,[0.23342079],0.25054622
90,[0.24175315],0.22841692
91,[0.22104168],0.26330268
92,[0.25700104],0.23007566
93,[0.251963],0.2329064
94,[0.22569834],0.22045463
95,[0.22887486],0.19395846
96,[0.2039204],0.16437003
97,[0.18114233],0.18962136
98,[0.1871287],0.12424346
99,[0.14522317],0.12729266
100,[0.14354695],0.11990633
101,[0.13164277],0.06511632
102,[0.11251575],0.054200687
103,[0.08879403],0.0534657
104,[0.07982749],0.07823693
105,[0.08965003],0.07779326
106,[0.08047336],0.07169483
107,[0.09519129],0.07606838
108,[0.10327185],0.055044927
109,[0.08547772],0.06224919
110,[0.08313397],0.060044207
111,[0.07654454],0.061914764
112,[0.08575719],0.04251363
113,[0.07660549],0.04108008
114,[0.06411653],0.039682917
115,[0.06151119],0.023883916
116,[0.07340131],0.032150917
117,[0.06472141],0.03586229
118,[0.06008131],0.03582587
119,[0.05268909],0.0077505037
120,[0.04999065],0.02498307
121,[0.06030957],0.04585419
122,[0.05956073],0.056994997
123,[0.05513217],0.059855454
124,[0.0710626],0.08962598
125,[0.08396033],0.09248645
126,[0.10444545],0.0461886
127,[0.10267639],0.08951674
128,[0.09765036],0.11211943
129,[0.10707512],0.10789155
130,[0.11197747],0.38068298
131,[0.23283873],0.084815465
132,[0.1931768],0.07481689
133,[0.12189323],0.09392669
134,[0.11306633],0.119760685
135,[0.12656714],0.14224744
136,[0.12535997],0.18043062
137,[0.14286351],0.16385353
138,[0.16157253],0.12082339
139,[0.12909526],0.16293645
140,[0.14841622],0.16583332
141,[0.14800324],0.17821896
142,[0.16496693],0.18829036
143,[0.16702536],0.173074
144,[0.15941949],0.1670484
145,[0.16765438],0.1901609
146,[0.16492009],0.22223899
147,[0.19227256],0.19405437
148,[0.1859185],0.22742036
149,[0.19019471],0.2707485
150,[0.24726522],0.28000537
151,[0.25992483],0.24278238
152,[0.24584174],0.27096698
153,[0.25485972],0.24295777
154,[0.24388665],0.24495092
155,[0.24666157],0.34010908
156,[0.2826843],0.24340811
157,[0.27211058],0.21614057
158,[0.23769063],0.22381824
159,[0.22758608],0.25030768
160,[0.24247016],0.25798535
161,[0.23743413],0.251632
162,[0.24381536],0.28614026
163,[0.27405697],0.22424856
164,[0.23503943],0.26203117
165,[0.25383937],0.31578147
166,[0.26522228],0.275698
167,[0.2639391],0.27360228
168,[0.29556686],0.27026173
169,[0.25263298],0.24597058
170,[0.27063695],0.29469857
171,[0.29209504],0.30076057
172,[0.28814873],0.34349936
173,[0.29953182],0.2917586
174,[0.3008059],0.27331764
175,[0.28300154],0.2474108
176,[0.26413843],0.2372666
177,[0.25874355],0.2703115
178,[0.25685838],0.21908051
179,[0.22621964],0.21386275
180,[0.20953424],0.21261126
181,[0.22018394],0.24410668
182,[0.22402282],0.23172775
183,[0.24535263],0.25979644
184,[0.25267318],0.22981408
185,[0.25013533],0.22419572
186,[0.23522708],0.30246907
187,[0.25497845],0.26898718
188,[0.26094624],0.24068666
189,[0.2543365],0.24186528
190,[0.2639139],0.26104793
191,[0.24634969],0.23807439
192,[0.25822708],0.2348862
193,[0.2422528],0.25563473
194,[0.2506185],0.20104015
195,[0.23582649],0.27283755
196,[0.25149745],0.30249885
197,[0.27256453],0.23047626
198,[0.25189674],0.24770883
199,[0.25179437],0.25104937
200,[0.25834978],0.24564949
201,[0.2594348],0.25347283
202,[0.24538474],0.26754692
203,[0.27486646],0.24249104
204,[0.24216826],0.22228208
205,[0.24383141],0.28694806
206,[0.26381114],0.34785956
207,[0.31138474],0.34111902
208,[0.31066418],0.22087824
209,[0.25859264],0.21169418
210,[0.24217822],0.25089702
211,[0.2567436],0.23347571
212,[0.21549171],0.30830595
213,[0.26887196],0.2574027
214,[0.25005627],0.27423468
215,[0.26281685],0.26431563
216,[0.27113953],0.26167366
217,[0.26869458],0.27352944
218,[0.2829939],0.24693742
219,[0.2539072],0.24958605
220,[0.2415341],0.27689
221,[0.26102903],0.20096731
222,[0.21943195],0.20291737
223,[0.21767822],0.20894298
224,[0.18835011],0.20254654
225,[0.20249097],0.21111155
226,[0.19080043],0.22151068
227,[0.20243292],0.19868949
228,[0.20208932],0.19153807
229,[0.19233061],0.17168355
230,[0.179295],0.15017998
231,[0.14936258],0.14864388
232,[0.14844245],0.13320905
233,[0.135259],0.119280584
234,[0.13283542],0.1175557
235,[0.12138744],0.11571487
236,[0.15844983],0.09814789
237,[0.10882001],0.10995085
238,[0.11028492],0.08510678
239,[0.11589528],0.2349985
240,[0.15433352],0.03530938
241,[0.11559718],0.112658985
242,[0.12345763],0.048532568
243,[0.09115986],0.049820475
244,[0.09573156],0.06201733
245,[0.08197442],0.08649058
246,[0.08416305],0.054048337
247,[0.08281621],0.08347779
248,[0.08998331],0.066026725
249,[0.10703983],0.021963589
250,[0.06818411],0.08587151
251,[0.07727687],0.08355061
252,[0.08792053],0.031998567
253,[0.07618344],0.04162631
254,[0.07685244],0.0506647
255,[0.06431134],0.028542109
256,[0.05328706],0.054230414
257,[0.06767514],0.08189855
258,[0.08259827],0.060663275
259,[0.08246067],0.06595389
260,[0.08294005],0.06561946
261,[0.08540428],0.037805684
262,[0.06345917],0.07120808
263,[0.06439287],0.09750212
264,[0.0888448],0.041328304
265,[0.07655114],0.07929299
266,[0.09466348],0.060474522
267,[0.09188277],0.049413227
268,[0.06765503],0.12158146
269,[0.10462221],0.15780789
270,[0.14013991],0.11864818
271,[0.12975459],0.1588409
272,[0.13328186],0.166118
273,[0.15253285],0.11979041
274,[0.14876415],0.13709581
275,[0.14810808],0.15036207
276,[0.14438082],0.17023662
277,[0.15401395],0.17447117
278,[0.15679951],0.17865595
279,[0.16711892],0.096088566
280,[0.12638971],0.12162454
281,[0.13523749],0.116552435
282,[0.13057052],0.077604525
283,[0.11609792],0.10405757
284,[0.11945955],0.103613906
285,[0.11027887],0.07671719
286,[0.11234376],0.10666979
287,[0.11865597],0.09453908
288,[0.10987653],0.09299626
289,[0.1175248],0.109566666
290,[0.12597837],0.12952071
291,[0.12880048],0.103024565
292,[0.12350576],0.13315925
293,[0.13948672],0.13242427
294,[0.1284912],0.08237863
295,[0.11988151],0.11979041
296,[0.12398217],0.13823137
297,[0.12978502],0.107143186
298,[0.11823001],0.09758831
299,[0.11632439],0.10362058
300,[0.12005714],0.101452015
301,[0.12142269],0.10677905
302,[0.12446796],0.09784988
303,[0.12379911],0.13040805
304,[0.11394523],0.13264945
305,[0.13718458],0.09343993
306,[0.12813647],0.09832329
307,[0.12788926],0.11279797
308,[0.11094678],0.12672639
309,[0.14080016],0.15111345
310,[0.12761667],0.1327587
311,[0.1327419],0.18720761
312,[0.16031799],0.16185367
313,[0.1614231],0.16435668
314,[0.15316327],0.17012736
315,[0.15895356],0.13962853
316,[0.1406737],0.15921172
317,[0.15938658],0.123720266
318,[0.14954594],0.14168784
319,[0.14162862],0.14642555
320,[0.1454384],0.17935452
321,[0.15517934],0.1629231
322,[0.15501484],0.15179566
323,[0.14187653],0.13198727
324,[0.13199113],0.1657174
325,[0.14398664],0.17027304
326,[0.15960987],0.1483756
327,[0.14810573],0.1955541
328,[0.1630587],0.22124243
329,[0.19296022],0.23306844
330,[0.21042995],0.15550035
331,[0.17947209],0.18887302
332,[0.16652714],0.18934643
333,[0.17838335],0.18268839
334,[0.1624934],0.22385463
335,[0.18876015],0.162741
336,[0.17861396],0.20705906
337,[0.16991618],0.17365667
338,[0.16709049],0.21179676
339,[0.18430327],0.22183174
340,[0.18969116],0.22315606
341,[0.20446816],0.24512634
342,[0.24371976],0.2317144
343,[0.23016456],0.2829751
344,[0.24746224],0.27051663
345,[0.27711836],0.24714923
346,[0.24500519],0.28503442
347,[0.26448804],0.28070396
348,[0.27485308],0.2982643
349,[0.27722317],0.3322627
350,[0.30081198],0.27657866
351,[0.28901416],0.33283195
352,[0.29850245],0.3535143
353,[0.31199646],0.2711855
354,[0.2925913],0.2727714
355,[0.30854306],0.278797
356,[0.2663511],0.25225776
357,[0.28517553],0.23333672
358,[0.24805386],0.28717324
359,[0.2580953],0.23039675
360,[0.2514967],0.24495092
361,[0.2622384],0.4135488
362,[0.31750974],0.28563708
363,[0.29801345],0.41271797
364,[0.34278286],0.20692009
365,[0.27883485],0.21499833
366,[0.26135167],0.19574285
367,[0.22145487],0.17546108
368,[0.18208225],0.199345
369,[0.19929193],0.17520615
370,[0.17164278],0.21515733
371,[0.18124981],0.1590794
372,[0.17657487],0.14926293
373,[0.1618408],0.12438243
374,[0.12230444],0.13390094
375,[0.13540159],0.11917133
376,[0.13573776],0.12651458
377,[0.12048171],0.114615716
378,[0.11662664],0.1027466
379,[0.11347277],0.10615998
380,[0.11323404],0.11479781
381,[0.14443193],0.09561517
382,[0.10700335],0.10994417
383,[0.12587814],0.14041328
384,[0.1189464],0.11630421
385,[0.11509143],0.0944001
386,[0.11543009],0.09557875
387,[0.12090809],0.07753169
388,[0.12207796],0.04898291
389,[0.08153356],0.103402086
390,[0.1023261],0.15067282
391,[0.11756197],0.13797587
392,[0.12240922],0.14363426
393,[0.12905183],0.06730128
394,[0.11650661],0.038497575
395,[0.07278061],0.04276187
396,[0.07348701],0.047645234
397,[0.05451741],0.057527877
398,[0.05943652],0.03357113
399,[0.05383611],0.07289656
400,[0.06357933],0.06855943
401,[0.07778282],0.05444891
402,[0.07186362],0.03354139
403,[0.07670759],0.036845528
404,[0.08521954],0.043569706
405,[0.06027438],0.0412919
406,[0.05022729],0.051691033
407,[0.06488843],0.03159132
408,[0.06922673],0.038315497
409,[0.05766902],0.09747905
410,[0.09174669],0.079286315
411,[0.1098132],0.08362345
412,[0.09832972],0.10082627
413,[0.10236169],0.11618162
414,[0.11742009],0.13713223
415,[0.11605287],0.17126292
416,[0.15214434],0.16898513
417,[0.14435229],0.16406533
418,[0.15202756],0.16347602
419,[0.15843427],0.12059156
420,[0.13782087],0.13506621
421,[0.13998377],0.13705939
422,[0.1351296],0.16285694
423,[0.1429718],0.11802242
424,[0.13202293],0.10795101
425,[0.11294653],0.120336644
426,[0.1329283],0.11703252
427,[0.12985063],0.13492724
428,[0.13148874],0.17982793
429,[0.15335798],0.13801289
430,[0.13726479],0.14672354
431,[0.1537403],0.15007076
432,[0.14213027],0.26092836
433,[0.19974977],0.1527127
434,[0.16655199],0.12676951
435,[0.14249744],0.10611688
436,[0.13355766],0.09678047
437,[0.11971205],0.13489082
438,[0.13199028],0.09722414
439,[0.12935916],0.12305812
440,[0.13354051],0.14676663
441,[0.12433603],0.12398187
442,[0.1310765],0.09704206
443,[0.12958556],0.117294125
444,[0.12523776],0.11927391
445,[0.12184401],0.167012
446,[0.13459453],0.16435668
447,[0.144581],0.23089322
448,[0.18288437],0.20767814
449,[0.18526766],0.13603306
450,[0.15431792],0.16719407
451,[0.15539554],0.17674229
452,[0.1544226],0.23776305
453,[0.19163422],0.1626682
454,[0.17566091],0.20006663
455,[0.18481323],0.16230401
456,[0.16417754],0.14455497
457,[0.14587806],0.1636945
458,[0.1446653],0.1582649
459,[0.14718586],0.1459224
460,[0.15650977],0.18527088
461,[0.1600862],0.16344628
462,[0.16280884],0.13908231
463,[0.14797856],0.1933127
464,[0.15037762],0.17935452
465,[0.16636819],0.16076124
466,[0.15898375],0.15778485
467,[0.16458742],0.17520615
468,[0.14434457],0.14871001
469,[0.14809237],0.14176068
470,[0.13314621],0.16439974
471,[0.13819791],0.19192222
472,[0.15079294],0.22466916
473,[0.19547759],0.26957652
474,[0.22656125],0.18647927
475,[0.19881423],0.22480813
476,[0.2179588],0.23211497
477,[0.22469787],0.21443874
478,[0.2178637],0.20745298
479,[0.20420271],0.18118864
480,[0.1848862],0.17340174
481,[0.1751778],0.20820129
482,[0.18806721],0.22116959
483,[0.19149731],0.2184912
484,[0.22362967],0.21866661
485,[0.20876332],0.21775621
486,[0.20506819],0.25159562
487,[0.23633894],0.2324858
488,[0.22119145],0.3345769
489,[0.2590901],0.22308323
490,[0.2791865],0.2513407
491,[0.24593402],0.2562307
492,[0.25698853],0.24938396
493,[0.25266242],0.24840072
494,[0.23717466],0.30671334
495,[0.27472305],0.2736818
496,[0.25513247],0.26331905
497,[0.2666299],0.3053593
498,[0.2693424],0.28242886
499,[0.29170272],0.27188405
500,[0.262775],0.40274915
501,[0.3037853],0.28213754
502,[0.3089299],0.23565093
503,[0.2731257],0.230367
504,[0.25458118],0.23025107
505,[0.23228967],0.20291737
506,[0.22084816],0.38336074
507,[0.28182608],0.28538522
508,[0.29635164],0.4134523
509,[0.32902685],0.28333256
510,[0.31949237],0.1828905
511,[0.24316768],0.21769005
512,[0.22857343],0.18773744
513,[0.18758826],0.15705651
514,[0.15825097],0.17845082
515,[0.16263218],0.1472103
516,[0.13967504],0.1255678
517,[0.13526802],0.14614755
518,[0.12692104],0.16385353
519,[0.13145174],0.14540589
520,[0.13624279],0.17976847
521,[0.15286982],0.12872624
522,[0.14132541],0.22363916
523,[0.16786464],0.109719
524,[0.14382094],0.12052541
525,[0.13731484],0.08006441
526,[0.12598109],0.11001701
527,[0.10142219],0.10799412
528,[0.1093213],0.10200492
529,[0.11129086],0.09939938
530,[0.10816848],0.12122398
531,[0.11966611],0.1011607
532,[0.11901495],0.10619638
533,[0.10668837],0.09454576
534,[0.10897528],0.08715942
535,[0.10841911],0.07609812
536,[0.09594164],0.0554455
537,[0.10124213],0.053866275
538,[0.0635223],0.048386894
539,[0.06660008],0.03545504
540,[0.0662598],0.044420607
541,[0.05733045],0.033395715
542,[0.05304097],0.028141536
543,[0.05005963],0.03839501
544,[0.04664825],0.03269715
545,[0.05329459],0.019066714
546,[0.043646],0.03522987
547,[0.05514969],0.046036266
548,[0.06224914],0.033432133
549,[0.05977399],0.050773956
550,[0.05809006],0.041000552
551,[0.05496074],0.0680132
552,[0.06806709],0.0812728
553,[0.08106171],0.08043524
554,[0.08586831],0.08288845
555,[0.08797249],0.10788488
556,[0.10562771],0.104391985
557,[0.10683054],0.11953551
558,[0.12645566],0.12456452
559,[0.13302468],0.1410985
560,[0.13464406],0.1548813
561,[0.14605363],0.17913604
562,[0.16067483],0.12735882
563,[0.15167895],0.13893661
564,[0.13105664],0.122985296
565,[0.14514238],0.09983637
566,[0.1302864],0.14208841
567,[0.1302786],0.1330136
568,[0.13280745],0.126551
569,[0.13423286],0.14782935
570,[0.12639017],0.13805595
571,[0.14787945],0.12519029
572,[0.13851877],0.16560817
573,[0.14841439],0.126988
574,[0.14713633],0.103249736
575,[0.12471642],0.11248357
576,[0.12675756],0.1258227
577,[0.13116705],0.09047022
578,[0.1152355],0.13687733
579,[0.12974611],0.1209624
580,[0.13409126],0.107768945
581,[0.12778635],0.11383095
582,[0.11104905],0.20167258
583,[0.15272875],0.21934211
584,[0.16788936],0.11894616
585,[0.13547145],0.09343993
586,[0.12714301],0.13672498
587,[0.13093907],0.07484662
588,[0.1076045],0.12136964
589,[0.11504678],0.108722426
