,y_pred,y_true,W11(avg1_short),W12(max1_short),W21(avg2_long),W22(max2_long)
0,[0.1651025],0.21029702,0.8618977,0.13810231,0.8591243,0.14087577
1,[0.19382465],0.29667836,0.8621002,0.13789979,0.8691842,0.13081579
2,[0.24416298],0.23215806,0.7049021,0.2950979,0.64365846,0.35634157
3,[0.23963103],0.26405406,0.8531615,0.14683852,0.7969247,0.20307529
4,[0.25367826],0.2504236,0.8544583,0.14554177,0.85355395,0.14644602
5,[0.2452433],0.28485233,0.8378946,0.1621054,0.8508523,0.14914769
6,[0.27936444],0.3284354,0.7294456,0.2705544,0.73517466,0.26482534
7,[0.29552338],0.28242218,0.87533414,0.12466591,0.8810187,0.11898131
8,[0.28788468],0.26886457,0.8446283,0.1553717,0.8403885,0.15961151
9,[0.2646118],0.2363064,0.8140502,0.18594988,0.8457637,0.1542363
10,[0.2627023],0.1976498,0.7622213,0.2377787,0.6749076,0.32509232
11,[0.22003742],0.21495521,0.8531912,0.14680883,0.8685288,0.13147119
12,[0.21360129],0.2575781,0.7543431,0.24565694,0.7207509,0.27924913
13,[0.23447406],0.20518184,0.83092916,0.1690708,0.853406,0.14659403
14,[0.20830667],0.21605438,0.7004367,0.2995633,0.5726887,0.4273113
15,[0.22152703],0.25489974,0.7928667,0.2071333,0.8012502,0.19874984
16,[0.22334154],0.24383843,0.87117356,0.12882645,0.84304464,0.15695533
17,[0.23872952],0.32101262,0.76512146,0.23487854,0.7282764,0.2717236
18,[0.28556463],0.30116117,0.8322841,0.16771586,0.8811315,0.11886846
19,[0.29474664],0.26291183,0.8490108,0.15098922,0.8059383,0.19406167
20,[0.27111748],0.31431818,0.8282293,0.17177066,0.9219675,0.07803246
21,[0.28252319],0.2281056,0.79444635,0.20555368,0.84485966,0.15514036
22,[0.26992953],0.28748763,0.76745325,0.23254678,0.76626956,0.23373045
23,[0.2732174],0.28801078,0.84343356,0.15656641,0.88388383,0.11611616
24,[0.27585483],0.27668792,0.78638005,0.21361992,0.80090386,0.19909607
25,[0.2727492],0.31105047,0.8611671,0.13883285,0.8721417,0.12785822
26,[0.28646728],0.30718675,0.8476165,0.15238349,0.9029789,0.09702111
27,[0.2850933],0.2342835,0.8149418,0.18505815,0.8213969,0.17860302
28,[0.2588601],0.28249502,0.7650867,0.23491335,0.72389156,0.27610844
29,[0.26609913],0.28084296,0.86080354,0.1391965,0.8947952,0.10520484
30,[0.26025826],0.23627001,0.8763328,0.12366719,0.9205059,0.07949405
31,[0.25002038],0.27794608,0.86711746,0.13288252,0.8914665,0.108533524
32,[0.24680698],0.28991112,0.8632953,0.13670462,0.91272527,0.08727466
33,[0.26549825],0.27301297,0.73254097,0.26745898,0.7104835,0.2895165
34,[0.2704024],0.23611766,0.86869484,0.13130517,0.9009729,0.09902709
35,[0.26419488],0.20646974,0.7112083,0.28879175,0.71727836,0.28272158
36,[0.2246899],0.20796946,0.816015,0.18398497,0.8445052,0.15549473
37,[0.21280298],0.25423756,0.8333972,0.16660279,0.85403043,0.14596961
38,[0.2369031],0.2572868,0.7546703,0.2453297,0.76165235,0.23834765
39,[0.24266824],0.24787754,0.84168476,0.15831527,0.88631797,0.11368196
40,[0.25446823],0.24111697,0.7875011,0.21249887,0.81123066,0.18876928
41,[0.24791329],0.27643967,0.85875505,0.14124495,0.8768748,0.12312519
42,[0.25487742],0.29281467,0.8934833,0.106516704,0.90311295,0.09688704
